x_m,rho_exact,rhoP_exact,U_exact,Us_exact,p_exact,rho_numerical,rhoP_numerical,U_numerical,Us_numerical,p_numerical
2.025,0.9914170810053803,0.989566257060093,-0.008136027213144159,-0.002819978616497485,0.9879839134075323,0.99143984954186,0.9980000000000199,-0.0080930249137722,-0.0028048715368362,0.98804410802357
2.035,0.9916914863943982,0.9901902591897921,-0.007866948020194702,-0.0022867197120856986,0.9883680809521574,0.9917190363245,0.9919999999999801,-0.0078198228477977,-0.0022710761429141,0.98843348769705
2.045,0.9919986816908186,0.9908529758848248,-0.007566821577476221,-0.0017444361696731872,0.988798154367146,0.99202967504974,0.9920000000000199,-0.0075108355067138,-0.0017309596887848,0.98886647026889
2.055,0.9923374545351507,0.9915517917051622,-0.007236832346943381,-0.0011952681346560387,0.989272436349211,0.99237357631064,0.99199999999999,-0.0071743893843848,-0.0011846980167129,0.98934562941127
2.065,0.9927064679457486,0.99228394874402,-0.006878282645331385,-0.0006413829223775019,0.9897890551240479,0.99274624533286,0.9920000000000199,-0.0068102166483027,-0.00063440897295313,0.98986477439702
2.075,0.9931042655952667,0.9930465575120568,-0.006492587504506675,-8.496646472429476e-05,0.9903459718333734,0.99314579024292,0.9939999999999599,-0.0064198400774268,-8.2247733001273e-05,0.9904213176272
2.085,0.9935292775581189,0.9938366083408678,-0.006081269086982774,0.00047178531674767774,0.9909409885813665,0.9935721781917,0.99300000000002,-0.0060068728483098,0.00047023329950133,0.99101524482475
2.095,0.9939798265062574,0.9946509832607716,-0.005645950678640111,0.0010266751771126716,0.9915717571087603,0.99402218484072,0.9949999999999801,-0.0055698253802807,0.0010202267754963,0.99164208831344
2.105,0.99445413432882,0.9954864683060118,-0.0051883502823583914,0.0015775132195968442,0.992235788060348,0.9944959839471,0.9950000000000199,-0.0051125097240292,0.0015665040654035,0.99230213900985
2.115,0.9949503291495218,0.9963397661988118,-0.0047102738378439505,0.0021221255381005345,0.9929304608093305,0.99499082658183,0.99699999999998,-0.0046352719736787,0.0021065248642267,0.99299160557269
2.125,0.9954664527140952,0.9972075093622232,-0.004213608094410976,0.0026583627966122636,0.9936530337997332,0.99550511028455,0.99600000000002,-0.0041406630978791,0.0026386412624763,0.99370828749191
2.135,0.9960004681186253,0.9980862732104143,-0.0037003131648438055,0.003184108711656188,0.9944006553660754,0.99603656880128,0.9989999999999899,-0.0036302424481963,0.0031597163048669,0.99444906279854
2.145,0.9965502678482789,0.9989725896639453,-0.0031724147897272486,0.003697288404296133,0.9951703749875904,0.99658343821067,0.9980000000000199,-0.0031064843770552,0.0036694122232689,0.99521151204446
2.155,0.9971136820947026,0.9998629608366936,-0.0026319963427741217,0.004195876588734692,0.9959591549325837,0.99714290994351,0.9999999999999599,-0.002570796458935,0.0041640471801942,0.99599175349803
2.165,0.9976884873192654,1.0007538728404122,-0.0020811906087007848,0.004677905565191218,0.9967638822469715,0.99771379326032,1.0,-0.0020259892024192,0.0046433700128705,0.99678815823533
2.175,0.9982724150283493,1.0016418096524413,-0.0015221713661004686,0.005141472985513686,0.997581381039689,0.99829299279156,1.002,-0.0014735489661056,0.0051038587927924,0.99759642449634
2.185,0.9988631607260577,1.002523266991844,-0.0009571448085320868,0.005584749360877917,0.9984084250164809,0.99887875995124,1.002,-0.00091603056606163,0.0055453504784152,0.99841414099062
2.195,0.9994583930090081,1.0033947661492006,-0.0003883408376823289,0.006005985281944027,0.9992417502126113,0.99946880051034,1.002,-0.00035505054861167,0.0059648820639291,0.99923814436758
2.205,1.0000557627673152,1.0042528677154876,0.00018199573703773977,0.006403518322976001,1.0000780678742411,1.0000610071519,1.004,0.00020740232014854,0.0063613457537348,1.0000655423484
2.215,1.000652912455455,1.0050941851558521,0.0007516140577296484,0.0067757796026764235,1.0009140774376373,1.0006547804273,1.005,0.00077069255448918,0.0067331151578308,1.0008955475532
