x_m,rho_exact_kg_m3,rho_GPU_GKS_GKP_kg_m3,Ux_exact_m_s,Ux_GPU_GKS_GKP_m_s,p_exact_Pa,p_GPU_GKS_GKP_Pa
0.6975,0.4263194281784952,0.35756657344539,293.2862701245426,282.9975434689,30313.017805064683,30390.282628239
0.7025,0.4263194281784952,0.33387583196255,293.2862701245426,284.22792440505,30313.017805064683,30400.916130081
0.7075,0.2655737117053071,0.31463394631408,293.2862701245426,285.82489342634,30313.017805064683,30398.095821977
0.7125,0.2655737117053071,0.29970999156313,293.2862701245426,287.40680128068,30313.017805064683,30385.816755079
0.7175,0.2655737117053071,0.28848505751539,293.2862701245426,288.84710687705,30313.017805064683,30373.171257146
0.7225,0.2655737117053071,0.28029880915589,293.2862701245426,290.08546673122,30313.017805064683,30361.151731833
0.7275,0.2655737117053071,0.27453019121612,293.2862701245426,291.09311597033,30313.017805064683,30350.296738558
0.7325,0.2655737117053071,0.27062157843212,293.2862701245426,291.8701594393,30313.017805064683,30341.172305392
0.7375,0.2655737117053071,0.26809092469856,293.2862701245426,292.43918446537,30313.017805064683,30333.974877438
0.7425,0.2655737117053071,0.26654138074808,293.2862701245426,292.83496581735,30313.017805064683,30328.670341498
0.7475,0.2655737117053071,0.26566117155333,293.2862701245426,293.09598548944,30313.017805064683,30325.005884717
0.7525,0.2655737117053071,0.26521540119329,293.2862701245426,293.25723119353,30313.017805064683,30322.409130525
0.7575,0.2655737117053071,0.26503190798946,293.2862701245426,293.34386076676,30313.017805064683,30320.306056075
0.7625,0.2655737117053071,0.26498581858345,293.2862701245426,293.37564535389,30313.017805064683,30318.828359824
0.7675,0.2655737117053071,0.26500035862705,293.2862701245426,293.38757491703,30313.017805064683,30319.84859231
0.7725,0.2655737117053071,0.26506508164474,293.2862701245426,293.42492462206,30313.017805064683,30322.30832204
0.7775,0.2655737117053071,0.26520052893114,293.2862701245426,293.47214005808,30313.017805064683,30320.080957142
0.7825,0.2655737117053071,0.26536087456066,293.2862701245426,293.45879862317,30313.017805064683,30319.509717337
0.7875,0.2655737117053071,0.26548284323352,293.2862701245426,293.4383597671,30313.017805064683,30320.086104072
0.7925,0.2655737117053071,0.26556326828926,293.2862701245426,293.42081578677,30313.017805064683,30321.10616874
0.7975,0.2655737117053071,0.26560885796906,293.2862701245426,293.4110971784,30313.017805064683,30322.263624304
0.8025,0.2655737117053071,0.26563126344427,293.2862701245426,293.41023639565,30313.017805064683,30323.455837241
0.8075,0.2655737117053071,0.26564103705647,293.2862701245426,293.41578713911,30313.017805064683,30324.482973743
0.8125,0.2655737117053071,0.26564212342227,293.2862701245426,293.42121083796,30313.017805064683,30325.108047111
0.8175,0.2655737117053071,0.26563076021258,293.2862701245426,293.42310131531,30313.017805064683,30326.089150025
0.8225,0.2655737117053071,0.26560901836641,293.2862701245426,293.43432993904,30313.017805064683,30327.763204377
0.8275,0.2655737117053071,0.26559271622616,293.2862701245426,293.45255917455,30313.017805064683,30329.207708359
0.8325,0.2655737117053071,0.26558688019111,293.2862701245426,293.47068283827,30313.017805064683,30330.961640622
0.8375,0.2655737117053071,0.26558921376479,293.2862701245426,293.4891634543,30313.017805064683,30332.817923088
0.8425,0.2655737117053071,0.26559664208454,293.2862701245426,293.50600108582,30313.017805064683,30334.405309572
0.8475,0.2655737117053071,0.26560462963734,293.2862701245426,293.51629235436,30313.017805064683,30335.430056552
0.8525,0.2655737117053071,0.26560775715031,293.2862701245426,293.51605874348,30313.017805064683,30335.444101661
0.8575,0.2655737117053071,0.26559652540253,293.2862701245426,293.48765405621,30313.017805064683,30331.492334835
0.8625,0.2655737117053071,0.26552491747665,293.2862701245426,293.34133353651,30313.017805064683,30311.465835264
0.8675,0.2655737117053071,0.2652099061086,293.2862701245426,292.74093600205,30313.017805064683,30232.599779001
0.8725,0.2655737117053071,0.26401535484202,293.2862701245426,290.52656395043,30313.017805064683,29949.037532693
0.8775,0.2655737117053071,0.25991356214726,293.2862701245426,282.97012245706,30313.017805064683,28993.358970396
0.8825,0.2655737117053071,0.24817982041565,293.2862701245426,261.50060232139,30313.017805064683,26545.143348527
0.8875,0.2655737117053071,0.22416643885921,293.2862701245426,218.85993158943,30313.017805064683,22682.243791293
0.8925,0.125,0.19077322733267,0.0,155.53214282472,10000.0,18027.558737039
0.8975,0.125,0.15881251974434,0.0,86.054161107184,10000.0,13977.187200165
0.9025,0.125,0.13824653626323,0.0,35.167969541079,10000.0,11520.080029506
0.9075,0.125,0.12922209577868,0.0,11.322566057257,10000.0,10477.699093065
0.9125,0.125,0.12621260228528,0.0,3.2513710379176,10000.0,10136.310279198
0.9175,0.125,0.12533524588444,0.0,0.89812146966945,10000.0,10037.59275978
0.9225,0.125,0.12509159127648,0.0,0.24527165094605,10000.0,10010.262045152
0.9275,0.125,0.12502493428877,0.0,0.066761469595023,10000.0,10002.792950819
0.9325,0.125,0.12500678015559,0.0,0.018152972032705,10000.0,10000.759402128
0.9375,0.125,0.12500184277605,0.0,0.0049337174164877,10000.0,10000.206392886
0.9425,0.125,0.12500050068897,0.0,0.0013405032074915,10000.0,10000.05607733
0.9475,0.125,0.12500013599835,0.0,0.00036411026266415,10000.0,10000.015231831
0.9525,0.125,0.12500003692787,0.0,9.8867455241455e-05,10000.0,10000.004135923
0.9575,0.125,0.12500001002311,0.0,2.6835003952482e-05,10000.0,10000.001122589
