record_type,time_ms,experiment_surface_temperature_C,cold_wall_contact_layer_temperature_C,cold_wall_contact_layer_temperature_K,cold_enthalpy_equivalent_temperature_C,cold_enthalpy_equivalent_temperature_K,cold_axial_node_mean_temperature_C,cold_axial_node_mean_temperature_K,cold_free_surface_temperature_C,cold_free_surface_temperature_K,cold_profile_active,cold_wall_state,cold_contact_area_m2,cold_frozen_area_m2,cold_solidification_contact_age_s
coldWall,7.599,,1162.5691673212882,1435.7191673212883,2046.0858710237417,2319.2358710237418,1781.1335868764022,2054.2835868764023,2085.339890412795,2358.489890412795,1,1,0.0002656651777215302,0.0002656651777215302,0.0075981952250003815
coldWall,7.649,,1162.5056362922232,1435.655636292223,2046.035599034265,2319.185599034265,1780.9146548608583,2054.0646548608584,2085.1407438085494,2358.2907438085495,1,1,0.0002656651777215302,0.0002656651777215302,0.007648183964192867
coldWall,7.699,,1162.4693047918304,1435.6193047918302,2045.9854932642152,2319.1354932642153,1780.7104112845777,2053.860411284578,2084.941596403039,2358.091596403039,1,1,0.0002656651777215302,0.0002656651777215302,0.007698172703385353
coldWall,7.749,,1162.4603692065984,1435.6103692065985,2045.935548452388,2319.085548452388,1780.5201286435645,2053.6701286435646,2084.7424481971734,2357.8924481971735,1,1,0.0002656651777215302,0.0002656651777215302,0.007748161442577839
coldWall,7.7989999999999995,,1162.478142183818,1435.6281421838178,2045.8857511821288,2319.035751182129,1780.3429394318814,2053.4929394318815,2084.5432991909524,2357.6932991909525,1,1,0.0002656651777215302,0.0002656651777215302,0.007798150181770325
coldWall,7.849,,1162.522329143755,1435.672329143755,2045.836046994912,2318.986046994912,1780.1764589641184,2053.3264589641185,2084.3361833758513,2357.4861833758514,1,1,0.0002656651777215302,0.0002656651777215302,0.007848155684769154
coldWall,7.899,,1162.5926355066772,1435.742635506677,2045.7865008753388,2318.936500875339,1780.0228756534611,2053.1728756534612,2084.1287347757293,2357.2787347757294,1,1,0.0002656651777215302,0.0002656651777215302,0.007898167707026005
coldWall,7.949,,1162.688570306363,1435.838570306363,2045.7371038790116,2318.8871038790116,1779.9196062742208,2053.069606274221,2083.92128530704,2357.07128530704,1,1,0.0002656651777215302,0.0002656651777215302,0.007948179729282856
coldWall,7.998999999999999,,1162.8097407698351,1435.959740769835,2045.6878460093358,2318.837846009336,1779.8331229512319,2052.983122951232,2083.713834969783,2356.863834969783,1,1,0.0002656651777215302,0.0002656651777215302,0.007998191751539707
coldWall,8.049,,1162.9558523173605,1436.1058523173606,2045.6387227945925,2318.7887227945926,1779.7591109860691,2052.909110986069,2083.506383764868,2356.656383764868,1,1,0.0002656651777215302,0.0002656651777215302,0.008048203773796558
