record_type,time_ms,experiment_beta,cold_beta,cold_wall_state,cold_contact_area_m2,cold_frozen_area_m2
coldWall,8.598999999999998,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,8.649,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,8.699,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,8.749,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,8.799,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,8.848999999999998,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,8.899,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,8.948999999999998,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,8.999,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,9.049,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,9.099,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,9.149,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,9.198999999999998,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,9.248999999999999,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,9.299,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,9.349,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,9.399,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,9.449,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,9.498999999999999,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,9.548999999999998,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,9.599,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,9.649,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,9.699,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,9.748999999999999,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,9.799,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,9.849,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,9.899,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,9.949,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
coldWall,9.998999999999999,,3.678344246718337,1,0.0002656651777215302,0.0002656651777215302
