temperature_component,time_s,particle_count,temperature_median_K,temperature_mean_K,temperature_p25_K,temperature_p75_K
bottomLayer,2.0699999756942535,1655,2823.77882945,2850.80875526,2770.90928065,2922.6131621
topLayer,2.0699999756942535,1655,2996.87230562,3005.18965611,2965.47698853,3039.37301752
enthalpyMean,2.0699999756942535,1655,2920.22252213,2952.47994641,2864.02825826,3034.01612309
bottomLayer,2.0800000231170301,1636,2826.26252819,2853.90164149,2772.56654413,2928.3115783
topLayer,2.0800000231170301,1636,3001.35275203,3008.75009557,2967.43931049,3044.14906298
enthalpyMean,2.0800000231170301,1636,2926.91205605,2956.28795619,2866.13427095,3041.57620007
bottomLayer,2.0899999659549238,1695,2833.47716505,2858.62433393,2775.11162291,2931.09951313
topLayer,2.0899999659549238,1695,3007.66585398,3013.22007137,2968.43728723,3050.07150786
enthalpyMean,2.0899999659549238,1695,2934.07316194,2961.72790187,2869.72217367,3051.12128054
bottomLayer,2.1000000328958599,1707,2843.55128981,2861.26980763,2776.98951145,2933.15365635
topLayer,2.1000000328958599,1707,3011.08246449,3013.55573684,2969.13811322,3049.76298762
enthalpyMean,2.1000000328958599,1707,2938.23787625,2963.20959565,2871.51734268,3049.95824765
bottomLayer,2.1099999890066172,1656,2833.69562448,2852.27886941,2777.17991308,2915.07780423
topLayer,2.1099999890066172,1656,2975.18644943,2983.22927259,2946.98571715,3010.41129857
enthalpyMean,2.1099999890066172,1656,2926.59883977,2949.50326357,2866.81796676,3021.86411498
bottomLayer,2.1200000264682473,1611,2819.18694191,2842.61838667,2772.58127402,2898.34308941
topLayer,2.1200000264682473,1611,2956.0116147,2961.96167161,2925.1800728,2985.02907096
enthalpyMean,2.1200000264682473,1611,2909.73970679,2936.51857098,2858.91891989,3002.11012959
bottomLayer,2.1299999797903428,1642,2815.80540004,2846.2442843,2770.35240365,2908.9769108
topLayer,2.1299999797903428,1642,2972.35326266,2980.01551367,2939.18107332,2997.45099988
enthalpyMean,2.1299999797903428,1642,2911.04123378,2941.73547247,2858.98118807,3011.52528948
bottomLayer,2.1400000264965238,1633,2817.8826953,2847.35193382,2770.76757275,2912.59580043
topLayer,2.1400000264965238,1633,2982.2900224,2992.33606248,2951.40100644,3011.02415244
enthalpyMean,2.1400000264965238,1633,2914.49266082,2946.00780781,2861.32842405,3018.81705533
bottomLayer,2.1499999812208177,1625,2821.16626682,2851.31005397,2771.56481943,2921.13881906
topLayer,2.1499999812208177,1625,2991.2154308,3000.76160013,2959.5770185,3022.39830581
enthalpyMean,2.1499999812208177,1625,2917.6888345,2950.87776625,2863.96287516,3030.37446442
bottomLayer,2.1599999774369305,1573,2821.29878901,2851.21901322,2772.46672642,2919.31342874
topLayer,2.1599999774369305,1573,2997.00436384,3007.23711788,2966.43164124,3035.77284019
enthalpyMean,2.1599999774369305,1573,2919.51494039,2951.24685345,2865.55175869,3028.19674352
bottomLayer,2.1700000227943663,1577,2824.22832773,2855.9037989,2774.87644987,2929.56848983
topLayer,2.1700000227943663,1577,2999.29025958,3010.14349753,2969.01532595,3046.56817874
enthalpyMean,2.1700000227943663,1577,2921.77778841,2955.77777114,2867.2332393,3042.16493774
bottomLayer,2.1800000078122013,1582,2829.38000629,2861.41895107,2776.90895681,2937.59813248
topLayer,2.1800000078122013,1582,3004.69099556,3013.98129713,2970.59850479,3051.46931778
enthalpyMean,2.1800000078122013,1582,2925.70266027,2960.98212701,2869.07851548,3054.9678865
bottomLayer,2.1900000151907548,1589,2836.46647861,2866.04331323,2778.51105807,2943.10589483
topLayer,2.1900000151907548,1589,3013.43094222,3019.6882082,2972.48177911,3061.51536702
enthalpyMean,2.1900000151907548,1589,2933.95963959,2966.55764307,2871.02211312,3061.05195511
bottomLayer,2.1999999809721302,1626,2850.75406735,2869.14474239,2780.46632378,2943.88916567
topLayer,2.1999999809721302,1626,3020.01765751,3024.21423273,2975.90685068,3064.68860919
enthalpyMean,2.1999999809721302,1626,2944.53301151,2971.82752396,2873.7007294,3064.77811093
bottomLayer,2.2100000228093526,1622,2845.06473078,2861.5688693,2781.59440919,2932.63295116
topLayer,2.2100000228093526,1622,2983.03998561,2990.15925031,2948.93367477,3025.00596624
enthalpyMean,2.2100000228093526,1622,2935.8405995,2958.830805,2869.48424206,3044.54158999
bottomLayer,2.2200000340063322,1614,2830.23566358,2852.71086408,2777.52648482,2918.48366143
topLayer,2.2200000340063322,1614,2966.51082594,2971.13624155,2929.65544378,2999.50807943
enthalpyMean,2.2200000340063322,1614,2921.41367171,2947.62967432,2863.31175018,3025.35033381
bottomLayer,2.2299999804780186,1612,2826.74455564,2850.48361816,2774.43029279,2918.91598198
topLayer,2.2299999804780186,1612,2982.05614827,2984.0133936,2943.49273424,3009.09588562
enthalpyMean,2.2299999804780186,1612,2920.35248499,2947.05649839,2861.78653871,3028.47674142
bottomLayer,2.2399999966434834,1570,2822.15902379,2847.03569251,2773.69966289,2914.94733525
topLayer,2.2399999966434834,1570,2987.24586527,2991.13065686,2951.9056916,3013.92935308
enthalpyMean,2.2399999966434834,1570,2920.33492693,2946.16665043,2863.11986918,3025.49419093
bottomLayer,2.2499999699816686,1620,2829.09807152,2857.66938744,2775.24509011,2928.98302319
topLayer,2.2499999699816686,1620,2996.10927753,3005.46604807,2963.08330917,3035.52055124
enthalpyMean,2.2499999699816686,1620,2926.64018652,2956.83498219,2868.23469216,3041.33908238
bottomLayer,2.2599999809040359,1680,2832.13581155,2857.28151234,2775.65487003,2931.67831071
topLayer,2.2599999809040359,1680,3008.21919751,3014.28235415,2971.67075936,3053.99617722
enthalpyMean,2.2599999809040359,1680,2934.85501544,2961.08045772,2871.35399121,3048.83520514
bottomLayer,2.2700000291576248,1660,2833.90783662,2856.37692288,2776.67996319,2928.98597629
topLayer,2.2700000291576248,1660,3007.34822704,3013.56319377,2973.42244721,3051.89149265
enthalpyMean,2.2700000291576248,1660,2936.07468907,2960.88147893,2872.18848186,3045.4940854
bottomLayer,2.2800000202047879,1637,2831.16199269,2855.22480178,2777.49768624,2923.67627025
topLayer,2.2800000202047879,1637,3009.61383205,3013.94395561,2972.06672224,3052.34025947
enthalpyMean,2.2800000202047879,1637,2934.35762287,2960.09966138,2873.04110799,3042.96213303
bottomLayer,2.2899999732190857,1663,2831.16199269,2857.5990651,2780.00129273,2928.49123249
topLayer,2.2899999732190857,1663,3011.43495609,3015.43318034,2971.87214266,3053.36396281
enthalpyMean,2.2899999732190857,1663,2935.72872161,2962.17301343,2874.18213583,3046.01820386
bottomLayer,2.3000000072069025,1653,2834.7524038,2858.09676003,2781.21503768,2923.45213172
topLayer,2.3000000072069025,1653,3013.10958497,3016.76352425,2973.41318568,3051.91735178
enthalpyMean,2.3000000072069025,1653,2938.00133605,2963.29250741,2875.79089664,3041.98454395
bottomLayer,2.3100000291100744,1616,2829.74906682,2849.0000956,2779.22713653,2913.08520319
topLayer,2.3100000291100744,1616,2976.09567769,2983.61800594,2948.14621864,3010.87861768
enthalpyMean,2.3100000291100744,1616,2925.61438683,2948.94959008,2868.04389776,3020.73233875
bottomLayer,2.3200000137908336,1601,2819.02087104,2843.2865495,2774.26654178,2903.09794557
topLayer,2.3200000137908336,1601,2960.24993052,2965.84921016,2926.78293059,2989.82683961
enthalpyMean,2.3200000137908336,1601,2909.38190401,2938.92429623,2861.65305585,3006.31899884
bottomLayer,2.3299999793017312,1605,2814.21115381,2840.33289349,2769.14407323,2902.18493001
topLayer,2.3299999793017312,1605,2974.33769042,2979.20326994,2939.7781489,2999.66380489
enthalpyMean,2.3299999793017312,1605,2909.89300316,2939.55231519,2860.17971001,3011.83003202
bottomLayer,2.3400000086299042,1576,2816.06044202,2842.45063814,2770.76395187,2906.65808762
topLayer,2.3400000086299042,1576,2985.61412932,2993.90600527,2954.82013848,3013.85171726
enthalpyMean,2.3400000086299042,1576,2914.23746359,2943.36357489,2863.65222214,3015.14612252
bottomLayer,2.3499999897467374,1548,2821.33282381,2845.91230555,2774.42741274,2910.31916118
